,time,prediction,pvPower,date,area,familyID,state,totalaccurgenamount
192,2022-01-18 12:00:00,100973.84276275367,126624.0,2022-01-18 12:00:00,sc_jong,6-1,N,12940970.0
193,2022-01-18 13:00:00,83196.00276126649,113117.0,2022-01-18 13:00:00,sc_jong,6-1,N,12942837.0
194,2022-01-18 14:00:00,9621.366833957416,66156.0,2022-01-18 14:00:00,sc_jong,6-1,N,12944010.0
195,2022-01-18 15:00:00,-7415.823883193493,7851.0,2022-01-18 15:00:00,sc_jong,6-1,N,12944160.0
196,2022-01-18 16:00:00,13363.918446330965,4200.0,2022-01-18 16:00:00,sc_jong,6-1,N,12944253.0
197,2022-01-18 17:00:00,5689.842493068702,667.0,2022-01-18 17:00:00,sc_jong,6-1,N,12944283.0
198,2022-01-19 07:00:00,1731.4583543266249,435.0,2022-01-19 07:00:00,sc_jong,6-1,N,12944294.0
199,2022-01-19 08:00:00,7498.783103167613,8140.0,2022-01-19 08:00:00,sc_jong,6-1,N,12944438.0
200,2022-01-19 09:00:00,18292.42662085604,34757.0,2022-01-19 09:00:00,sc_jong,6-1,N,12944967.0
201,2022-01-19 10:00:00,31667.752133003654,81554.0,2022-01-19 10:00:00,sc_jong,6-1,N,12946198.0
202,2022-01-19 11:00:00,39675.97448122516,111843.0,2022-01-19 11:00:00,sc_jong,6-1,N,12947890.0
203,2022-01-19 12:00:00,-2890.430461309536,96057.0,2022-01-19 12:00:00,sc_jong,6-1,N,12949404.0
204,2022-01-19 13:00:00,-789.1065651573599,39424.0,2022-01-19 13:00:00,sc_jong,6-1,N,12950028.0
205,2022-01-19 14:00:00,15205.382136562504,28711.0,2022-01-19 14:00:00,sc_jong,6-1,N,12950481.0
206,2022-01-19 15:00:00,35790.27979859992,13114.0,2022-01-19 15:00:00,sc_jong,6-1,N,12950701.0
207,2022-01-19 16:00:00,14329.890127672948,8716.0,2022-01-19 16:00:00,sc_jong,6-1,N,12950857.0
208,2022-01-19 17:00:00,-480.584902267309,1291.0,2022-01-19 17:00:00,sc_jong,6-1,N,12950892.0
209,2022-01-20 09:00:00,16874.33141301185,0.0,2022-01-20 09:00:00,sc_jong,6-1,N,12950892.0
